"Time","A5041021","A5041021","A5041021"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
01/11/2004 00:00,"","",""
02/11/2004 00:00,"","",""
03/11/2004 00:00,"","",""
04/11/2004 00:00,"","",""
05/11/2004 00:00,"","",""
06/11/2004 00:00,"","",""
07/11/2004 00:00,"","",""
08/11/2004 00:00,"","",""
09/11/2004 00:00,"","",""
10/11/2004 00:00,"","",""
11/11/2004 00:00,"","",""
12/11/2004 00:00,"","",""
13/11/2004 00:00,"","",""
14/11/2004 00:00,"","",""
15/11/2004 00:00,"","",""
16/11/2004 00:00,"","",""
17/11/2004 00:00,"","",""
18/11/2004 00:00,"","",""
19/11/2004 00:00,"","",""
20/11/2004 00:00,"","",""
21/11/2004 00:00,"","",""
22/11/2004 00:00,"","",""
23/11/2004 00:00,"","",""
24/11/2004 00:00,"","",""
25/11/2004 00:00,"","",""
26/11/2004 00:00,"","",""
27/11/2004 00:00,"","",""
28/11/2004 00:00,"","",""
29/11/2004 00:00,"","",""
30/11/2004 00:00,"","",""
01/12/2004 00:00,"","",""
02/12/2004 00:00,"","",""
03/12/2004 00:00,"","",""
04/12/2004 00:00,"","",""
05/12/2004 00:00,"","",""
06/12/2004 00:00,"","",""
07/12/2004 00:00,"","",""
08/12/2004 00:00,"","",""
09/12/2004 00:00,"","",""
10/12/2004 00:00,"","",""
11/12/2004 00:00,"","",""
12/12/2004 00:00,"","",""
13/12/2004 00:00,"","",""
14/12/2004 00:00,"","",""
15/12/2004 00:00,"","",""
16/12/2004 00:00,"","",""
17/12/2004 00:00,"","",""
18/12/2004 00:00,"","",""
19/12/2004 00:00,"","",""
20/12/2004 00:00,"","",""
21/12/2004 00:00,"","",""
22/12/2004 00:00,"","",""
23/12/2004 00:00,"","",""
24/12/2004 00:00,"","",""
25/12/2004 00:00,"","",""
26/12/2004 00:00,"","",""
27/12/2004 00:00,"","",""
28/12/2004 00:00,"","",""
29/12/2004 00:00,"","",""
30/12/2004 00:00,"","",""
31/12/2004 00:00,"","",""
01/01/2005 00:00,"","",""
02/01/2005 00:00,"","",""
03/01/2005 00:00,"","",""
04/01/2005 00:00,"","",""
05/01/2005 00:00,"","",""
06/01/2005 00:00,"","",""
07/01/2005 00:00,"","",""
08/01/2005 00:00,"","",""
09/01/2005 00:00,"","",""
10/01/2005 00:00,"","",""
11/01/2005 00:00,"","",""
12/01/2005 00:00,"","",""
13/01/2005 00:00,"","",""
14/01/2005 00:00,"","",""
15/01/2005 00:00,"","",""
16/01/2005 00:00,"","",""
17/01/2005 00:00,"","",""
18/01/2005 00:00,"","",""
19/01/2005 00:00,"","",""
