Time,Q
01/07/2013 00:00:00,0.0000
02/07/2013 00:00:00,0.0000
03/07/2013 00:00:00,0.0000
04/07/2013 00:00:00,0.0000
05/07/2013 00:00:00,0.0000
06/07/2013 00:00:00,0.0000
07/07/2013 00:00:00,0.0000
08/07/2013 00:00:00,0.0000
09/07/2013 00:00:00,0.0000
10/07/2013 00:00:00,0.0000
11/07/2013 00:00:00,0.0000
12/07/2013 00:00:00,0.0000
13/07/2013 00:00:00,0.0000
14/07/2013 00:00:00,0.0000
15/07/2013 00:00:00,0.0000
16/07/2013 00:00:00,0.0000
17/07/2013 00:00:00,0.0000
18/07/2013 00:00:00,0.0000
19/07/2013 00:00:00,0.0000
20/07/2013 00:00:00,0.0000
21/07/2013 00:00:00,0.0000
22/07/2013 00:00:00,0.0000
23/07/2013 00:00:00,0.0000
24/07/2013 00:00:00,0.0000
25/07/2013 00:00:00,0.0000
26/07/2013 00:00:00,0.0000
27/07/2013 00:00:00,0.0000
28/07/2013 00:00:00,0.0000
29/07/2013 00:00:00,0.0000
30/07/2013 00:00:00,0.0000
31/07/2013 00:00:00,0.0000
01/08/2013 00:00:00,0.0000
02/08/2013 00:00:00,0.0000
03/08/2013 00:00:00,0.0000
04/08/2013 00:00:00,0.0000
05/08/2013 00:00:00,0.0000
06/08/2013 00:00:00,0.0000
07/08/2013 00:00:00,0.0000
08/08/2013 00:00:00,0.0000
09/08/2013 00:00:00,0.0000
10/08/2013 00:00:00,0.0000
11/08/2013 00:00:00,0.0000
12/08/2013 00:00:00,0.0000
13/08/2013 00:00:00,0.0000
14/08/2013 00:00:00,0.0000
15/08/2013 00:00:00,0.0000
16/08/2013 00:00:00,0.0000
17/08/2013 00:00:00,0.0000
18/08/2013 00:00:00,0.0000
19/08/2013 00:00:00,0.0000
20/08/2013 00:00:00,10.0853
21/08/2013 00:00:00,32.1323
22/08/2013 00:00:00,17.9129
23/08/2013 00:00:00,10.6053
24/08/2013 00:00:00,30.5323
25/08/2013 00:00:00,34.2667
26/08/2013 00:00:00,34.2522
27/08/2013 00:00:00,31.5062
28/08/2013 00:00:00,20.7423
29/08/2013 00:00:00,13.2850
30/08/2013 00:00:00,11.9829
31/08/2013 00:00:00,16.8773
01/09/2013 00:00:00,16.5168
02/09/2013 00:00:00,16.2372
03/09/2013 00:00:00,18.2846
04/09/2013 00:00:00,18.6937
05/09/2013 00:00:00,15.5534
