ISOTime,Flow,SAL,TEMP,TRACE_1,SS1,RET,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/2013 00:00:00,0.000000,35.000000,23.000000,0.000000,33.000000,0.000000,280.000000,24.000000,0.714000,0.300000,0.900000,0.090000,816.999939,816.999939,40.000000,40.000000,1.200000,1.200000,24.999998
01/01/2013 04:00:01,0.000000,35.000740,22.981983,0.000000,14.766995,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.086542,817.017456,801.170288,40.000847,39.224979,1.200026,1.162987,25.000534
01/01/2013 08:00:05,2.647133,35.000740,22.981983,0.000000,6.262952,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.082998,817.017456,784.605347,40.000847,38.413971,1.200026,1.124739,25.000534
01/01/2013 12:00:07,2.326230,35.000740,22.981983,0.000000,2.656231,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.079599,817.017456,768.382935,40.000847,37.619736,1.200026,1.087748,25.000534
01/01/2013 16:00:09,4.040230,35.000740,22.981983,0.000000,1.126556,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.076340,817.017456,752.495972,40.000847,36.841919,1.200026,1.051974,25.000534
01/01/2013 20:00:11,4.811580,35.000740,22.981983,0.000000,0.477793,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.073214,817.017456,736.937561,40.000847,36.080181,1.200026,1.017377,25.000534
02/01/2013 00:00:02,4.927614,35.000740,22.981983,0.000000,0.202641,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.070216,817.017456,721.700745,40.000847,35.334198,1.200026,0.983917,25.000534
02/01/2013 04:00:07,6.573239,35.000740,22.981983,0.000000,0.085944,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.067340,817.017456,706.778809,40.000847,34.603634,1.200026,0.951558,25.000534
02/01/2013 08:00:00,5.215088,35.000740,22.981983,0.000000,0.036450,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.064583,817.017456,692.165588,40.000847,33.888172,1.200026,0.920262,25.000534
02/01/2013 12:00:08,2.736681,35.000740,22.981983,0.000000,0.015459,0.000275,280.005920,24.000511,0.714015,0.300006,0.900019,0.061938,817.017456,677.854553,40.000847,33.187515,1.200026,0.889997,25.000534
